nazwa_pliku,waga_kb,szerokosc,wysokosc,proporcje,jasnosc,kolor_R,kolor_G,kolor_B
008ac9af9d.jpg,41.74,700,534,1.31,167.32,214,188,181
01020c0554.jpg,38.03,525,680,0.77,69.74,19,28,43
0149450f2c.jpg,129.59,1920,1772,1.08,32.28,15,17,15
014e0f70fe.jpg,30.85,750,706,1.06,35.9,30,21,18
01a183c932.jpg,249.46,1073,991,1.08,128.26,58,41,41
01c1855fc6.jpg,344.98,1080,1058,1.02,171.74,210,205,189
01efc9cecc.jpg,62.29,600,1110,0.54,106.7,227,226,226
027bf61bc7.jpg,84.8,974,1358,0.72,114.43,56,53,60
028f98a8eb.jpg,320.74,1078,1007,1.07,55.47,44,39,61
02967a519d.jpg,72.76,1080,1080,1.0,52.03,30,28,25
02cf038e05.jpg,94.7,1080,1123,0.96,63.17,41,32,39
031d73d020.jpg,27.03,790,668,1.18,51.84,50,43,23
03202d8ade.jpg,396.3,1080,1080,1.0,86.67,46,45,42
0335a12361.jpg,35.5,451,692,0.65,80.41,54,51,49
0358736de2.jpg,27.76,562,610,0.92,37.0,32,28,28
03c21fdda3.jpg,100.73,1080,1055,1.02,75.63,42,36,25
041f2d1e26.jpg,64.36,1080,940,1.15,88.49,56,45,40
0424510c43.jpg,42.96,736,705,1.04,53.53,33,25,30
0429cd183a.jpg,56.29,888,960,0.93,75.16,28,24,20
044330bb28.jpg,88.59,1080,1245,0.87,120.15,104,92,121
0490b40499.jpg,53.84,960,758,1.27,92.42,195,123,83
0496161730.jpg,20.75,640,499,1.28,152.7,115,100,103
051b18cc77.jpg,43.03,802,864,0.93,125.68,214,208,200
05bdf6d8c4.jpg,493.07,1080,1058,1.02,112.17,111,121,105
05f0782aeb.jpg,39.77,720,595,1.21,163.91,49,56,59
065e818b16.jpg,438.66,1080,1047,1.03,209.49,213,220,217
0670a69643.jpg,53.38,698,756,0.92,59.47,47,37,40
069e55fd7a.jpg,48.94,640,782,0.82,84.66,192,188,178
06bfb12cd6.jpg,84.08,1080,1186,0.91,61.11,37,22,25
078af62fe1.jpg,43.22,1080,636,1.7,200.11,220,183,164
07c22ff9cc.jpg,91.59,1080,1051,1.03,91.35,57,54,36
07c426959b.jpg,125.19,1080,1629,0.66,88.61,212,144,120
07ceb394b2.jpg,321.27,1078,1070,1.01,114.56,154,143,149
07d78572f8.jpg,46.06,1080,949,1.14,226.25,147,79,88
07e2df1e3b.jpg,48.11,916,741,1.24,135.29,194,180,171
07f5ecc556.jpg,468.23,1080,1071,1.01,77.9,49,49,42
0813444907.jpg,0.0,0,0,0.0,0.0,0,0,0
086d9910d7.jpg,30.68,665,666,1.0,53.96,165,170,159
087ff277f2.jpg,358.12,1080,1284,0.84,89.25,45,22,15
08d5db810f.jpg,435.95,1079,1034,1.04,97.53,123,88,40
08d76f6841.jpg,135.74,749,1011,0.74,118.07,36,65,83
08f9c74106.jpg,31.26,720,726,0.99,84.89,115,72,44
0911f21b08.jpg,36.2,800,995,0.8,77.89,172,156,137
09413ad3e6.jpg,362.73,1080,1081,1.0,162.28,200,183,169
094d2dc146.jpg,131.29,1080,1358,0.8,81.63,224,175,117
097063d16d.jpg,915.64,1080,1518,0.71,111.43,148,143,125
09eaac4687.jpg,114.99,1179,1364,0.86,104.73,162,162,163
0a22d2a862.jpg,28.87,626,626,1.0,225.04,235,235,235
0a3b18af99.jpg,116.11,1080,1350,0.8,116.74,137,127,92
0a68153a88.jpg,44.44,720,845,0.85,120.38,55,49,45
0aa42a53a6.jpg,40.85,571,960,0.59,92.51,47,31,28
0aeb8593c5.jpg,40.51,900,450,2.0,81.35,196,180,164
0b397d4f53.jpg,354.39,1080,1049,1.03,127.36,58,52,52
0bcb24679b.jpg,33.96,1080,1012,1.07,152.16,96,127,223
0c1bbda72f.jpg,77.51,1019,880,1.16,116.39,45,32,48
0c3268a232.jpg,38.14,720,578,1.25,159.6,63,68,65
0c4a90408c.jpg,45.23,937,960,0.98,115.8,59,42,40
0ca777018c.jpg,34.01,1069,808,1.32,63.14,62,51,44
0cbd5a0b55.jpg,319.86,1080,638,1.69,143.88,150,138,140
0ce9bc98d8.jpg,65.12,1080,717,1.51,235.79,239,238,239
0d386c1390.jpg,38.02,563,422,1.33,95.01,56,54,47
0e3b6d2172.jpg,253.69,853,805,1.06,106.53,68,69,94
0e594b25c8.jpg,89.54,1080,1080,1.0,164.83,45,68,96
0e5a31f5f5.jpg,25.91,554,554,1.0,179.96,81,132,153
0e5deea4c2.jpg,86.15,1080,1077,1.0,181.77,205,198,196
0e9a15ee2a.jpg,357.81,1080,1057,1.02,120.7,60,95,115
0ec45140c0.jpg,40.37,518,600,0.86,122.55,68,57,50
0f325acab1.jpg,319.34,1069,954,1.12,71.02,198,178,177
0f75891840.jpg,125.76,1078,783,1.38,81.88,67,58,44
0fba7fbc71.jpg,499.15,1080,1267,0.85,207.88,234,213,62
0fc0d92131.jpg,429.21,1080,1081,1.0,80.12,44,31,24
0fecd7be9a.jpg,466.18,1080,1511,0.71,93.61,187,178,185
0ff9e85e0c.jpg,403.65,1080,694,1.56,181.41,197,212,220
112d00d756.jpg,58.29,641,1365,0.47,66.17,62,58,59
1143f39d06.jpg,724.3,1080,1307,0.83,128.22,151,119,85
1286aa87cb.jpg,28.28,596,709,0.84,65.31,42,37,38
128ff7b5ed.jpg,27.75,478,598,0.8,73.39,107,78,52
129d686c25.jpg,199.58,1080,1294,0.83,44.15,35,31,25
12f854d1db.jpg,532.82,1080,1557,0.69,142.11,216,203,194
131f8a66da.jpg,332.07,1080,1338,0.81,119.55,151,163,187
13a0917bf7.jpg,72.35,860,896,0.96,166.99,196,150,112
13bae21eec.jpg,27.54,700,583,1.2,58.06,45,36,43
1425bcd222.jpg,0.0,0,0,0.0,0.0,0,0,0
153f736fa5.jpg,364.98,1080,1209,0.89,81.38,33,34,36
155dc5c339.jpg,53.96,600,1068,0.56,218.27,210,202,198
1573968d00.jpg,52.9,700,931,0.75,114.51,50,44,34
15b8cb890f.jpg,326.04,1080,589,1.83,114.06,209,187,136
15bb6d167d.jpg,396.13,952,1273,0.75,101.43,202,178,172
15c89fcb80.jpg,68.07,1080,1080,1.0,57.94,196,174,170
15c8a8a36b.jpg,126.33,1080,1079,1.0,115.8,61,62,67
15ef4ecc76.jpg,44.42,1080,1036,1.04,157.33,211,183,177
160151ebcc.jpg,0.0,0,0,0.0,0.0,0,0,0
162b36d4d2.jpg,45.63,960,585,1.64,133.72,36,22,13
1676c12a6a.jpg,329.64,1080,1063,1.02,177.74,205,43,13
17a16e1bb7.jpg,250.11,1080,946,1.14,160.57,185,197,203
17add738ed.jpg,335.27,1080,1336,0.81,203.84,117,65,39
17e5354165.jpg,64.67,640,480,1.33,91.42,64,72,71
181f7177be.jpg,256.12,1080,969,1.11,220.82,221,213,191
18df70f276.jpg,24.45,642,461,1.39,107.84,30,19,9
195b1d8f72.jpg,29.0,600,498,1.2,158.55,197,179,168
197b49dfc2.jpg,421.13,934,944,0.99,83.64,65,44,29
19ff4c80e5.jpg,76.68,830,1038,0.8,44.73,17,19,14
1a40287761.jpg,368.21,1080,892,1.21,65.16,27,22,18
1a6fd9c1d6.jpg,573.55,1080,1274,0.85,131.19,211,201,194
1aa32a4ec5.jpg,44.44,474,708,0.67,93.95,114,106,98
1ae9c2dfa8.jpg,69.43,720,894,0.81,158.26,24,25,36
1b164dd541.jpg,35.4,720,514,1.4,97.88,39,23,22
1b1d686fb2.jpg,135.2,1080,743,1.45,73.87,31,20,16
1b9bc9b6cc.jpg,48.77,1080,1080,1.0,164.66,57,56,50
1bd01621aa.jpg,513.62,1080,1198,0.9,133.7,51,84,117
1beef120b3.jpg,32.25,560,450,1.24,130.61,59,55,57
1c493e5885.jpg,31.4,828,876,0.95,162.88,198,65,92
1c92f55a86.jpg,315.27,1080,606,1.78,85.52,96,69,45
1da5bc8731.jpg,44.85,595,573,1.04,124.39,79,68,77
1dc86297b6.jpg,89.95,872,1090,0.8,155.87,200,156,190
1dcfeef74e.jpg,17.62,666,667,1.0,13.96,13,12,12
