nazwa_pliku,obiekt,pewnosc,x1,y1,x2,y2
dcfaeac33f.jpg,car,0.81,417.2,358.2,539.5,455.2
dcfaeac33f.jpg,car,0.4,304.1,366.1,345.3,396.2
dcfaeac33f.jpg,car,0.33,2.4,614.7,949.8,954.5
1e0c7996f7.jpg,brak,0.0,0.0,0.0,0.0,0.0
54683fd51f.jpg,brak,0.0,0.0,0.0,0.0,0.0
c2ed727c26.jpg,person,0.56,28.8,354.9,347.3,679.0
59dc14fb71.jpg,person,0.87,0.0,253.4,721.0,814.0
c97a1f816f.jpg,person,0.9,15.3,392.4,531.2,1236.9
c97a1f816f.jpg,person,0.88,548.4,391.6,1080.0,1236.4
c97a1f816f.jpg,tie,0.54,242.0,1157.9,362.4,1238.6
1dd3aa5e61.jpg,person,0.89,327.8,440.0,927.0,960.0
1dd3aa5e61.jpg,wine glass,0.76,278.9,680.5,457.8,959.3
9b1a826d1a.jpg,brak,0.0,0.0,0.0,0.0,0.0
0496161730.jpg,person,0.93,19.1,194.9,470.5,493.9
0496161730.jpg,car,0.26,568.8,218.3,599.8,233.6
5889e6ea08.jpg,brak,0.0,0.0,0.0,0.0,0.0
9577297d4c.jpg,person,0.94,576.8,173.8,1056.1,610.5
9577297d4c.jpg,person,0.92,48.0,208.6,515.5,612.9
9577297d4c.jpg,tie,0.48,800.2,476.9,848.8,578.8
9577297d4c.jpg,donut,0.38,184.0,363.4,296.7,485.0
9577297d4c.jpg,tie,0.26,812.1,477.2,847.3,566.4
b072cba56f.jpg,person,0.86,76.1,646.7,1025.6,1317.9
343b228cab.jpg,person,0.87,1.0,149.5,561.9,460.5
8f7ed2cb40.jpg,clock,0.92,445.0,478.7,695.5,768.0
8f7ed2cb40.jpg,clock,0.3,22.6,474.0,272.9,768.0
702c3ec412.jpg,person,0.93,587.5,14.2,1070.7,810.0
702c3ec412.jpg,person,0.87,0.0,12.9,541.0,807.7
bd8223f700.jpg,person,0.92,596.8,406.6,1070.3,797.2
bd8223f700.jpg,person,0.85,595.4,4.6,1069.6,396.4
c3bb7ea59b.jpg,brak,0.0,0.0,0.0,0.0,0.0
d7f5f47041.jpg,person,0.84,20.0,0.5,1046.5,992.4
